keyword,frequency,category
cystic_RCC,16,1
転座型腎癌,16,1
放射線治療後変化,16,6
萎縮様,16,3
淡明型腎細胞癌,16,1
腎盂腎炎合併,16,6
高吸収の嚢胞,15,1
慢性炎症,15,6
腎血管脂肪腫,15,1
clear_cell_type,14,1
残存病変,14,1
感染性嚢胞,14,1
性嚢胞,14,0
軟部結節,14,1
古い梗塞,14,6
脾腫腎嚢胞,14,0
小径腎癌,14,1
高吸収嚢胞性病変,14,1
腎のう胞出血,14,1
腎mass,14,1
巨大嚢胞,14,0
膵萎縮腎嚢胞,14,0
早期濃染腫瘤,14,1
透析腎癌,14,1
腫瘤状病変,14,1
乏血性腎癌,14,1
代償性変化,14,6
嚢胞性結節,14,0
のう胞,14,0
腫大様,14,2
微小膿瘍,14,1
粗大結石,14,5
尿路感染再燃,14,6
結節状軟部影,14,1
単純性嚢胞,14,0
腎盂腎炎後変化,13,6
凍結療法後変化,13,6
腎内石灰化,13,5
転移性腫瘍,13,1
仮性嚢胞,13,0
処置後変化,13,6
悪性病変,13,1
腎芽腫,12,1
陳旧性梗塞瘢痕,12,6
骨髄脂肪腫,12,1
Bellini管癌,12,1
集合管癌,12,1
水尿管水腎症,12,2
実質浸潤,12,1
吸収値の高い嚢胞,12,1
定型嚢胞,12,0
単発嚢胞,12,0
有結石性,12,5
細菌性腎炎,12,6
梗塞巣,12,6
Fat_poor_AML,12,1
移植後の腎,12,6
嚢胞状構造,12,0
脂肪含有結節,12,1
mass形成,12,1
腎動静脈奇形,12,1
腎癌再発病変部,12,1
微小結節,12,1
Bosniak分類II相当,12,1
良性腫瘍,12,1
黄色肉芽腫性腎盂腎炎,12,6
wash_out像,12,1
小梗塞後変化,12,6
腫瘤状陰影,12,1
腎原発軟部,12,1
まずはAML,12,1
Bosniak分類カテゴリーIII,12,1
淡明細胞型のRCC,12,1
萎縮域,12,3
関連腎疾患,12,6
chromophobe_RCC,12,1
左嚢胞性腎癌,12,1
腎癌RFA後部,12,6
嚢胞内出血,11,1
膿腎症,11,1
索状の造影不良域,10,6
水腎症水尿管症,10,2
早期濃染から洗い出し,10,1
明細胞型のRCC,10,1
AMLs,10,1
腎嚢胞結腸憩室,10,0
結石ないし石灰化,10,5
小石灰化嚢胞,10,0
腎委縮,10,3
急性腎機能障害,10,6
凍結病変,10,1
高吸収な嚢胞,10,1
complciated_cyst,10,1
移植腎腫大,10,6
腎アミロイドーシス,10,6
腎hyperdense_cyst,10,1
異常腫瘤,10,1
高吸収な非定型嚢胞,10,1
陳旧性腎盂腎炎,10,6
水腎症後,10,2
腎clear_cell_RCC,10,1
嚢胞性陰影,10,0
Bosniak分類IIF相当,10,1
papillaryRCC,10,1
嫌色素細胞癌,10,1
腎AVF塞栓,10,6
hyperattenuating_AML,10,1
複雑のう胞,10,1
Bosniak分類カテゴリーIV相当,10,1
Bosniak分類CategoryIII,10,1
乏血性腫瘍,10,1
小梗塞後,10,6
腎fat_poor_AML,10,1
後腎性腺腫,10,1
合わせAML,10,1
血管筋脂肪腫（AML,10,1
達する腎損傷,10,6
転座型腎細胞癌,10,1
転移性腎癌,10,1
clearcell_typeのRCC,10,1
Bosniak分類カテゴリーII相当,10,1
嚢胞性構造,9,0
肝嚢胞腎嚢胞,9,0
腎脂肪性結節,8,1
腎parapelvic_cyst,8,1
染まり抜ける,8,1
楔状増強不良域,8,6
腎低濃度結節,8,1
腎水腎症,8,2
polycystic_kidney,8,0
萎縮腎,8,3
水腎症~腎盂内gas,8,6
楔状増強効果不良域,8,6
傍腎嚢胞,8,0
充実性結節,8,1
腎脂肪性腫瘤,8,1
腎angiomyolipoma,8,1
吸収値の高い結節,8,1
濃染来す肥厚,8,6
腎嚢胞像,8,0
多嚢胞,8,0
膨隆するAML,8,1
嚢胞形成,8,0
腎平滑筋肉腫,8,1
腫瘤形成,8,1
結節状病変,7,1
のう胞腎,7,0
隔壁有する嚢胞,7,1
腎内結石,7,5
脂肪含有腫瘤,7,1
高濃度病変,7,0
脂肪性の結節,6,1
solid_lesion,6,1
複数嚢胞,6,0
小AML,6,1
腎萎縮瘢痕,6,3
腎盂腎嚢胞,6,0
腫脹,6,2
腎compicated_cyst,6,1
結節状の早期濃染,6,1
腎腎結石,6,5
Gerota筋膜肥厚,6,6
右傍腎盂嚢胞,6,0
水腎・水尿管症,6,2
小SOL,6,1
造影効果乏しい領域,6,6
腎術後腎のう胞,5,0
腎皮質部分萎縮,5,3
結節状構造,5,1
変形萎縮,5,3
嚢胞病変,4,1
腎LDA,4,6
腎小結節,4,1
肥厚腎嚢胞,4,0
腎高度腎萎縮,4,3
小AML病変,4,1
腎腎嚢胞,4,0
腎水腎,4,2
腎腫大+腎周囲脂肪織濃度上昇,4,2
もともと萎縮,4,3
腎サンゴ状結石,4,5
固有腎萎縮,4,3
結節像,4,1
腎低吸収域,4,6
HDA,4,1
嚢胞腎同様,4,0
腎小のう胞,4,0
腎腫瘤２つ,4,1
腎complicate_cyst,4,1
リング状結節,4,1
巨大腎嚢胞,4,0
ともに萎縮,4,3
小石灰化結石,4,5
lipomyoma,4,1
腎・傍腎盂嚢胞,4,0
腎石灰化結石,4,5
萎縮部分,4,3
萎縮~変形,4,3
楔状萎縮,4,3
粗大石灰化,4,5
高度萎縮,3,3
ご状結石,3,5
移植腎結石,3,5
脂肪濃度SOL,2,1
早期濃染洗い出し,2,1
吸収値の高いcomplicated_cyst,2,1
cystic_lesions,2,0
嚢胞）,2,0
多房状嚢胞,2,0
complicated_cyst（疑）,2,1
ウォッシュアウト,2,1
ないしは萎縮,2,3
腎実質変形,2,4
１つ腎結石,2,5
腎上極非定型嚢胞,2,1
増強不領域,2,6
腎高濃度腫瘤,2,1
腎萎縮腎嚢胞,2,0
結節状の構造,2,1
腎単純嚢胞,2,0
移植腎嚢胞,2,6
小さいcomplicated_cyst,2,1
腎嚢嚢胞,2,0
腎瘢痕変形,2,4
腎結石and,2,5
小さいAML,2,1
皮質萎縮,2,3
腎萎縮左水腎症,2,3
overflowing_beer_sign,2,1
萎縮性,2,3
著しく萎縮,2,3
腫瘤様,2,1
局所的萎縮,2,3
腎腫瘤性病変,2,1
腎高吸収結節,2,1
充実部分,2,1
後期wash_outする腫瘍,2,1
出血小嚢胞,2,1
腫瘤状の病変,2,1
腎局所萎縮,2,3
萎縮高度,2,3
complicatec_cyst,2,1
腎萎縮腎嚢胞腎,2,0
充実性病変,2,1
腎結石腎嚢胞,2,5
腎complecated_cyst,2,1
嚢胞状病変,2,0
多発嚢胞,2,0
萎縮領域,2,3
複雑）嚢胞,2,1
腎上極嚢胞,2,0
石灰化嚢胞,2,5
水腎症h,2,2
肝変形,2,4
高吸収の非定型嚢胞,1,1
腎高吸収域嚢胞,1,1
腎AML内血腫,1,1
高濃度含む嚢胞,1,1
