keyword,keyword_en,frequency,category
小石灰化,Small Calcification,419,5
肝脾腫,Hepatosplenomegaly,407,4
軟部濃度,Soft Tissue Density,382,7
濃染域,Enhanced Area,360,7
高吸収域,High Absorption Area,358,7
肝内転移,Intrahepatic Metastasis,346,3
肝障害,Liver Damage,339,4
肝腫瘤,Liver Tumor,338,3
肝内結石,Intrahepatic Stone,322,5
結石,Stone,321,5
肝石灰化,Liver Calcification,313,5
wash_out,Washout,311,3
硬変肝,Cirrhotic Liver,306,4
早期造影域,Early Enhanced Area,284,7
凹凸不整,Irregular Contour,284,4
腫瘤性病変,Tumorous Lesion,280,3
HCC再発,Recurrent HCC,274,3
早期増強効果,Early Enhancement Effect,274,7
微小肝嚢胞,Micro Liver Cyst,272,0
染まり抜け,Enhancement Loss,265,3
腫瘍栓,Tumor Thrombus,261,7
再発病変,Recurrent Lesion,258,3
凹凸,Irregularity,256,4
小血管腫,Small Hemangioma,253,3
軟部組織,Soft Tissue,241,7
転移性肝腫瘍,Metastatic Liver Tumor,237,3
嚢胞性病変,Cystic Lesion,234,0
感染,Infection,231,7
軟部濃度域,Soft Tissue Density Area,230,7
腫瘍浸潤,Tumor Infiltration,228,3
ステント,Stent,224,7
うっ血肝,Congested Liver,222,4
FNH,FNH,221,3
肝浸潤,Liver Infiltration,220,3
肝内石灰化,Intrahepatic Calcification,216,5
腫瘤影,Tumor Shadow,216,3
転移性肝癌,Metastatic Liver Cancer,210,3
治療後変化,Post-treatment Changes,207,7
原発巣,Primary Lesion,206,3
肝転移巣,Liver Metastatic Focus,203,3
PV_shunt,PV Shunt,195,7
shunt,Shunt,194,7
viable_HCC,Viable HCC,193,3
壊死,Necrosis,192,7
浮腫,Edema,191,7
染まり,Staining,183,0
術後性変化,Postoperative Changes,178,7
変形萎縮,Deformation Atrophy,178,4
良性病変,Benign Lesion,178,7
増強不良域,Poorly Enhanced Area,178,7
periportal_collar,Periportal Collar,173,7
濃染結節,Enhanced Nodule,172,3
結節状の早期濃染,Nodular Early Enhancement,171,3
炎症性変化,Inflammatory Changes,170,7
PVシャント,PV Shunt,168,7
AP-shunt,AP Shunt,167,7
造影不領域,Contrast Deficient Area,158,7
A-Pシャント,A-P Shunt,157,7
出血,Hemorrhage,155,7
液体貯留腔,Fluid Retention Cavity,154,7
APshunt,AP Shunt,152,7
小さな嚢胞,Small Cyst,151,0
肝梗塞,Liver Infarction,146,7
胆汁瘻,Biliary Fistula,145,7
結節状早期濃染,Nodular Early Enhancement,145,3
造影効果は不均一,Uneven Enhancement,144,7
再生結節,Regenerative Nodule,144,3
n．p,N.p.,143,8
LC_shape,LC Shape,143,4
肝病変,Liver Lesion,142,7
third_inflow,Third Inflow,140,7
造影結節,Contrast Nodule,136,3
混合型肝癌,Mixed Type Liver Cancer,135,3
うっ血,Congestion,132,4
炎症波及,Inflammatory Spread,130,7
肝内胆管気腫,Intrahepatic Biliary Pneumatosis,129,6
小低吸収域,Small Low Absorption Area,122,3
結節影,Nodular Shadow,122,3
後期染まり抜け,Late Enhancement Loss,120,3
造影不良,Poor Contrast,119,7
viable_lesion,Viable Lesion,119,3
脂肪化,Fatty Change,118,1
慢性肝障害~肝硬変,Chronic Liver Damage to Liver Cirrhosis,117,4
造影増強効果,Contrast Enhancement Effect,116,7
HCC病変,HCC Lesion,116,3
periportal_edema,Periportal Edema,114,7
浮腫性変化,Edematous Change,112,7
Lipiodol集積,Lipiodol Accumulation,111,7
胆道気腫,Biliary Pneumatosis,110,6
過形成結節,Hyperplastic Nodule,110,3
リピオドール集積,Lipiodol Accumulation,108,7
染まりムラ,Uneven Staining,108,7
肝転移病変,Liver Metastatic Lesion,108,3
総胆管拡張,Common Bile Duct Dilation,106,2
局所血流異常,Local Blood Flow Abnormality,106,7
脂肪,Fat,105,1
肝細胞癌の再発,Recurrent Hepatocellular Carcinoma,105,3
肝門部領域胆管癌,Hilar Cholangiocarcinoma,104,3
軟部濃度組織,Soft Tissue Density Tissue,103,7
P-V_shunt,P-V Shunt,103,7
肝内胆管結石,Intrahepatic Bile Duct Stone,102,5
偽脂肪腫,Pseudolipoma,102,3
被包化液貯留,Encapsulated Fluid Retention,102,7
cavernous_transformation,Cavernous Transformation,100,7
肝腫瘍,Liver Tumor,98,3
仮性動脈瘤,Pseudoaneurysm,98,7
洗い出し,Washout,93,3
血流障害,Blood Flow Impairment,93,7
肝内小嚢胞,Intrahepatic Small Cyst,93,0
肝萎縮,Liver Atrophy,91,4
直腸癌肝転移,Rectal Cancer Liver Metastasis,90,3
脂肪濃度,Fat Density,90,1
lipiodol集積,Lipiodol Accumulation,88,7
脂肪肝・肝嚢胞,Fatty Liver and Liver Cyst,87,1
海綿状血管腫,Cavernous Hemangioma,87,3
肝転移再発,Recurrent Liver Metastasis,86,3
A-Pshunt,A-P Shunt,86,7
軟部組織陰影,Soft Tissue Shadow,86,7
肝内病変,Intrahepatic Lesion,82,7
低吸収病変,Low Absorption Lesion,81,3
リピオドール沈着,Lipiodol Deposition,81,7
急性肝障害,Acute Liver Damage,78,4
濃染像,Enhanced Image,77,7
肝辺縁鈍化,Blunted Liver Edge,76,4
肝結節,Liver Nodule,75,3
局所再発,Local Recurrence,75,3
増強域,Enhanced Area,74,7
濃度上昇,Increased Density,74,7
mass,Mass,73,3
胆管気腫,Biliary Pneumatosis,73,6
慢性肝障害パターン,Chronic Liver Damage Pattern,73,4
血液灌流異常,Blood Perfusion Abnormality,72,7
ドレナージチューブ,Drainage Tube,72,7
肝細胞腺腫,Hepatocellular Adenoma,71,3
早期濃染領域,Early Enhanced Area,71,7
小LDA,Small LDA,70,3
PSC,PSC,69,7
軽度胆管拡張,Mild Bile Duct Dilation,68,2
肝損傷,Liver Injury,68,7
胆管炎合併,Cholangitis Complication,68,7
肝内胆管拡張像,Intrahepatic Bile Duct Dilation Image,68,2
乏血性病変,Hypovascular Lesion,66,3
小さな肝嚢胞,Small Liver Cyst,65,0
血流改変,Blood Flow Modification,65,7
血管筋脂肪腫,Angiomyolipoma,64,3
軟部濃度構造,Soft Tissue Density Structure,64,7
造影効果が低下,Reduced Enhancement Effect,64,7
高吸収結節,High Absorption Nodule,64,3
悪性リンパ腫,Malignant Lymphoma,63,3
悪性腫瘍,Malignant Tumor,62,3
門脈腫瘍栓,Portal Vein Tumor Thrombus,62,7
微小膿瘍,Micro Abscess,62,7
P-Vシャント,P-V Shunt,62,7
LDAs,LDAs,62,3
陥凹,Depression,61,4
肝HCC,Liver HCC,61,3
肝癌,Liver Cancer,61,3
転移病変,Metastatic Lesion,61,3
早期濃染-washout,Early Enhanced Washout,61,3
早期増強域,Early Enhanced Area,61,7
門脈血栓,Portal Vein Thrombus,61,7
炎症後変化,Post-inflammatory Changes,60,7
軟部組織濃度,Soft Tissue Density,60,7
被包化液体貯留,Encapsulated Fluid Retention,60,7
早期濃染腫瘤,Early Enhanced Tumor,60,3
鈍化変形,Blunted Deformation,59,4
肥大,Hypertrophy,59,4
Lipiodol貯留,Lipiodol Retention,59,7
リピオドール,Lipiodol,59,7
辺縁鈍化,Blunted Edge,58,4
焼灼域,Ablation Area,56,7
ガス像,Gas Image,55,6
extravasation,Extravasation,55,7
早期造影効果,Early Contrast Effect,55,7
Pneumobilia,Pneumobilia,55,6
S状結腸癌肝転移,Sigmoid Colon Cancer Liver Metastasis,55,3
鉄沈着,Iron Deposition,54,7
LCパターン,LC Pattern,54,4
胆管狭窄,Bile Duct Stricture,54,7
TACE後病変,Post-TACE Lesion,53,7
RFA後の変化,Post-RFA Changes,52,7
軟部濃度腫瘤,Soft Tissue Density Tumor,52,3
腫瘍性病変,Tumorous Lesion,52,3
仮性瘤,Pseudoaneurysm,51,7
肝硬変の像,Liver Cirrhosis Image,51,4
高分化HCC,Well-differentiated HCC,51,3
肝外胆管拡張,Extrahepatic Bile Duct Dilation,51,2
血栓化,Thrombosis,51,7
広狭不整,Irregular Narrowing,51,7
低吸収化,Low Absorption,51,7
脂肪濃度上昇,Increased Fat Density,51,1
肝内再発,Intrahepatic Recurrence,50,3
アーチファクト,Artifact,50,7
微小石灰化,Microcalcification,50,5
早期濃染する結節,Early Enhanced Nodule,49,3
濃度低下,Decreased Density,48,7
低濃度病変,Low Density Lesion,47,7
増強効果は不均一,Uneven Enhancement Effect,46,7
急性胆管炎,Acute Cholangitis,46,7
結節状濃染,Nodular Enhancement,45,3
小病変,Small Lesion,45,3
結節性病変,Nodular Lesion,45,3
fluid_collection,Fluid Collection,45,7
壁肥厚像,Wall Thickening Image,44,4
気腫,Pneumatosis,44,6
液貯留腔,Fluid Retention Cavity,44,7
tiny_cyst,Tiny Cyst,44,0
造影欠損,Contrast Defect,43,7
残肝再発,Residual Liver Recurrence,43,3
乏血域,Hypovascular Area,42,7
脂肪浸潤,Fatty Infiltration,42,1
Lp集積,Lp Accumulation,42,7
軟部濃度部分,Soft Tissue Density Part,42,7
脂肪腫,Lipoma,42,3
早期造影増強,Early Enhanced Enhancement,42,7
被膜様構造,Capsule-like Structure,42,7
lipiodol沈着,Lipiodol Deposition,42,7
チューブ,Tube,42,7
肝炎,Hepatitis,41,4
造影ムラ,Uneven Staining,41,7
感染合併,Infection Complication,41,7
腫瘤状,Tumorous,40,3
肝機能障害,Liver Dysfunction,40,4
壁在結節,Wall Nodule,40,3
CCC,CCC,40,3
肝内コントラスト不良,Poor Intrahepatic Contrast,39,7
微小血管腫,Micro Hemangioma,39,3
濃染する領域,Enhanced Area,38,7
充実部,Solid Part,38,3
gas,Gas,38,6
脂肪性結節,Fatty Nodule,38,3
巨大肝嚢胞,Giant Liver Cyst,38,0
脂肪含有,Fat Content,37,1
肉芽腫,Granuloma,37,3
内部壊死,Internal Necrosis,36,7
胆管周囲嚢胞,Peribiliary Cyst,36,0
造影不良結節,Poor Contrast Nodule,35,3
造影効果不均一,Uneven Contrast Effect,35,7
残存病変,Residual Lesion,35,7
線維化,Fibrosis,34,7
肝拡大,Liver Enlargement,34,4
軽度肝内胆管拡張,Mild Intrahepatic Bile Duct Dilation,33,2
結節状構造,Nodular Structure,33,3
乏血性腫瘍,Hypovascular Tumor,33,3
門脈血流低下,Portal Blood Flow Decrease,33,7
complicated_cyst,Complicated Cyst,32,0
低濃度化,Low Density,32,1
コイル,Coil,32,7
小早期濃染像,Small Early Enhanced Image,32,3
cysts,Cysts,32,0
血流増加,Increased Blood Flow,32,7
Lpd集積,Lpd Accumulation,31,7
境界病変,Boundary Lesion,31,7
低吸収SOL,Low Absorption SOL,31,3
peribiliary_cysts,Peribiliary Cysts,31,0
肝内早期濃染,Intrahepatic Early Enhancement,31,7
クリップ,Clip,31,7
膿瘍化,Abscess Formation,31,7
占拠性病変,Occupying Lesion,30,3
結節状染まり,Nodular Staining,30,3
描出不良,Poorly Visible,30,7
傍胆管嚢胞,Peribiliary Cyst,29,0
石灰化肉芽腫,Calcified Granuloma,29,5
ICC,ICC,29,3
膿瘍腔,Abscess Cavity,28,7
脂肪成分,Fat Component,28,1
肝SOL,Liver SOL,28,3
軟部腫瘤,Soft Tissue Tumor,28,3
早期増強結節,Early Enhanced Nodule,28,3
早期濃染病変,Early Enhanced Lesion,27,3
膨隆,Protrusion,27,4
出血性嚢胞,Hemorrhagic Cyst,27,0
ヘモジデローシス,Hemosiderosis,27,7
造影効果不良,Poor Contrast Effect,27,7
結節状の早期濃染域,Nodular Early Enhanced Area,26,3
tube,Tube,26,7
focal_spared_area,Focal Spared Area,26,7
腫瘤形成,Mass Formation,26,3
遠肝性側副路,Distal Liver Collateral Route,26,7
再発腫瘤,Recurrent Tumor,26,3
低造影域,Low Contrast Area,26,7
肝表凹凸不整,Irregular Liver Surface,26,4
括れ,Constriction,26,4
肝門部病変,Hilar Lesion,26,7
乏血性領域,Hypovascular Area,26,7
鈍化しています,Blunted,26,4
腫瘤像,Tumor Image,25,3
結節状の低濃度域,Nodular Low Density Area,25,3
肝表不整,Irregular Liver Surface,25,4
tiny_cysts,Tiny Cysts,25,0
ガス貯留,Gas Retention,25,6
微小結節,Micro Nodule,25,3
腫大して,Enlarged,25,4
RFA後瘢痕,Post-RFA Scar,25,7
peribiliary_cyst,Peribiliary Cyst,24,0
門脈閉塞,Portal Vein Occlusion,24,7
造影効果不良域,Poor Contrast Area,24,7
造影欠損域,Contrast Defect Area,24,7
造影腫瘤,Contrast Tumor,24,3
瘢痕,Scar,23,7
吸収値低下,Decreased Absorption Value,23,1
造影剤の血管外漏出像,Extravasation of Contrast Agent,23,7
lipiodol,Lipiodol,23,7
肝海綿状血管腫,Liver Cavernous Hemangioma,23,3
異常造影効果,Abnormal Contrast Effect,23,7
鬱血,Congestion,22,7
損傷,Injury,22,7
Cysts,Cysts,22,0
リピオドール残存,Lipiodol Residual,21,7
pseudolipoma,Pseudolipoma,21,7
微小LDA,Micro LDA,21,3
lipiodol貯留,Lipiodol Retention,21,7
還流異常域,Perfusion Abnormal Area,21,7
ステント閉塞,Stent Occlusion,21,7
嚢胞性変化,Cystic Change,21,0
嚢胞状,Cystic,21,0
屈曲,Curvature,21,4
増強効果亢進,Increased Enhancement Effect,21,7
瘤状拡張,Aneurysmal Dilation,21,7
肝硬変パターンの肝変形,Cirrhotic Liver Pattern Deformation,20,4
dysfunction_pattern,Dysfunction Pattern,20,7
Lip集積,Lip Accumulation,20,7
fluid,Fluid,20,7
lipiodolの貯留,Lipiodol Retention,20,7
微小低吸収域,Micro Low Absorption Area,20,7
早期濃染後,Post-early Enhancement,20,7
萎縮変形,Atrophic Deformation,20,4
動脈口径不整,Arterial Diameter Irregularity,20,7
早期濃染する,Early Enhanced,20,7
高濃度域,High Density Area,20,7
遠肝性側副血行路,Distal Liver Collateral Circulation,19,7
血流低下,Blood Flow Decrease,19,7
嚢胞様構造,Cystic Structure,19,0
高信号,High Signal,19,7
肝小石灰化,Small Liver Calcification,19,5
被膜状構造,Capsule-like Structure,19,3
LC,LC,19,4
脂肪含有腫瘤,Fat-containing Tumor,19,3
濃染腫瘤,Enhanced Tumor,19,3
吸収値上昇,Increased Absorption Value,19,7
壊死巣,Necrotic Focus,19,7
突出像,Protruding Image,19,4
被包化液体貯留腔,Encapsulated Fluid Retention Cavity,19,7
嚢胞状構造,Cystic Structure,19,0
Lipiodol沈着域,Lipiodol Deposition Area,19,7
肝内血流,Intrahepatic Blood Flow,19,7
早期造影,Early Contrast,18,7
PV-shunt,PV Shunt,18,7
periportal_collar_sign,Periportal Collar Sign,18,7
濃染しています,Enhanced,18,7
斑状濃染,Patchy Enhancement,18,7
点状早期濃染,Punctate Early Enhancement,18,7
結節構造,Nodule Structure,18,3
結節状早期濃染域,Nodular Early Enhanced Area,18,3
肝硬変の肝形態,Cirrhotic Liver Morphology,18,4
AP_shunts,AP Shunts,18,7
低造影結節,Low Contrast Nodule,18,3
腫瘤状構造,Tumorous Structure,18,3
胆管結石,Bile Duct Stone,17,5
lipiodol_deposit,Lipiodol Deposit,17,7
肝内外胆管拡張,Intrahepatic and Extrahepatic Bile Duct Dilation,17,2
金属アーチファクト,Metal Artifact,17,7
腫瘤構造,Tumor Structure,17,3
低濃度結節,Low Density Nodule,17,3
索状影,Striated Shadow,17,7
腫脹,Swelling,17,4
早期描出,Early Visualization,17,7
造影不均一,Uneven Enhancement,17,7
肝硬変パターン,Cirrhotic Pattern,17,4
偏位,Deviation,17,4
狭小化ないし閉塞,Narrowing or Occlusion,17,4
ring_enhancement,Ring Enhancement,17,3
胆管腫瘍栓,Biliary Tumor Thrombus,17,7
気泡,Air Bubble,17,6
変性,Degeneration,17,7
肝辺縁鈍,Blunted Liver Edge,16,4
乏血性の結節,Hypovascular Nodule,16,3
肝濃度低下,Decreased Liver Density,16,1
造影効果の不良な領域,Poorly Enhanced Area,16,7
PTCD_tube,PTCD Tube,16,7
嚢胞壁,Cyst Wall,16,0
胆管気腫像,Biliary Pneumatosis Image,16,6
造影欠損像,Contrast Defect Image,16,7
異常増強,Abnormal Enhancement,16,7
小結節状の早期濃染,Punctate Nodular Early Enhancement,16,7
後期相染まり抜け,Late Phase Enhancement Loss,16,3
早期濃染する領域,Early Enhanced Area,16,7
HCCs,HCCs,16,3
狭窄後拡張,Post-stenotic Dilation,16,7
液体貯留像,Fluid Retention Image,16,7
巨大嚢胞,Giant Cyst,15,0
脂肪肝の所見,Fatty Liver Findings,15,1
LC-pattern,LC Pattern,15,4
線状高吸収,Linear High Absorption,15,7
貯留物,Accumulation,15,7
造影効果低下,Reduced Enhancement Effect,15,7
楔状早期濃染,Wedge-shaped Early Enhancement,15,7
小結石,Small Stone,15,5
軟部濃度病変,Soft Tissue Density Lesion,15,7
軟部組織像,Soft Tissue Image,15,7
cyst,Cyst,15,0
脂肪濃度結節,Fat Density Nodule,15,3
小膿瘍,Small Abscess,15,7
出血性肝嚢胞,Hemorrhagic Liver Cyst,15,0
新出病変,New Lesion,15,7
結節状の濃染,Nodular Enhancement,15,3
hypervascular_foci,Hypervascular Foci,14,3
リピオドールの貯留,Lipiodol Retention,14,7
腫瘤状病変,Tumorous Lesion,14,3
造影領域,Contrast Area,14,7
焼灼後変化,Post-ablation Changes,14,7
肝内LDA,Intrahepatic LDA,14,3
肝内低濃度結節,Intrahepatic Low Density Nodule,14,3
結節状早期濃染像,Nodular Early Enhanced Image,14,3
吸収値が上昇,Increased Absorption Value,14,7
肝LDA,Liver LDA,14,3
肝実質萎縮,Liver Parenchymal Atrophy,14,4
乏血性の領域,Hypovascular Area,14,7
はまだら,Patchy,14,7
造影剤濃度,Contrast Agent Density,14,7
グリソン浮腫,Glisson Edema,14,7
楔型の肝動脈血流亢進域,Wedge-shaped Hepatic Arterial Hyperperfusion Area,14,7
低吸収成分,Low Absorption Component,14,7
乏血生結節,Hypovascular Nodule,14,3
染まり抜ける結節,Enhancement Loss Nodule,14,3
早期相濃染,Early Phase Enhancement,14,7
小濃染,Small Enhancement,14,7
浮腫状壁肥厚,Edematous Wall Thickening,14,7
肝内胆管狭窄,Intrahepatic Bile Duct Stricture,14,7
肝内低濃度域,Intrahepatic Low Density Area,13,7
ステントの開存,Stent Patency,13,7
AV_shunt,AV Shunt,13,7
cystic_lesion,Cystic Lesion,13,0
肝内SOL,Intrahepatic SOL,13,3
小SOL,Small SOL,13,3
air_density,Air Density,13,6
造影効果増強,Enhanced Contrast Effect,13,7
肝門部腫瘤,Hilar Tumor,13,3
カテーテル,Catheter,13,6
点状高吸収域,Punctate High Absorption Area,13,7
PVshunt,PV Shunt,13,7
硬化性血管腫,Sclerosing Hemangioma,13,3
後期wash_out,Late Washout,13,3
脂肪肝の像,Fatty Liver Image,13,1
造影効果が不均一,Uneven Contrast Effect,13,7
軟部濃度影,Soft Tissue Density Shadow,13,7
被膜,Capsule,13,3
求肝性側副路,Hepatopetal Collateral Route,13,7
索状の造影不良域,Striated Poorly Enhanced Area,13,7
Pneuombilia,Pneumobilia,13,6
被膜下血腫,Subcapsular Hematoma,13,7
fat_spared_area,Fat Spared Area,13,7
胆管tube,Bile Duct Tube,13,7
結節状造影不良域,Nodular Poor Contrast Area,13,3
吸収値は低く,Low Absorption Value,13,1
ムラ染まり,Uneven Staining,13,7
結節様構造,Nodular Structure,13,3
造影効果はまだら,Patchy Contrast Effect,13,7
肝結石,Liver Stone,12,5
早期濃染小領域,Small Early Enhanced Area,12,7
造影効果の弱い領域,Weakly Enhanced Area,12,7
小低吸収SOL,Small Low Absorption SOL,12,3
cavrnous_tranformatio,Cavernous Transformation,12,7
小濃染域,Small Enhanced Area,12,7
血流不良,Poor Blood Flow,12,7
結節様,Nodular,12,3
表面凹凸,Surface Irregularity,12,4
結節様病変,Nodular Lesion,12,3
液状化,Liquefaction,12,7
異常増強効果,Abnormal Enhancement Effect,12,7
結節状造影効果,Nodular Contrast Effect,12,3
肝嚢胞性病変,Liver Cystic Lesion,12,0
充実成分,Solid Component,12,7
金属ステント,Metal Stent,12,7
Wash_out,Washout,12,3
mass_effect,Mass Effect,12,3
早期造影結節,Early Contrast Nodule,12,3
Lip沈着,Lip Retention,12,7
肝表面凹凸不整,Irregular Liver Surface,12,4
Lipidool,Lipiodol,12,7
嚢胞性腫瘤,Cystic Tumor,12,0
索状の低吸収域,Striated Low Absorption Area,12,7
肝内腫瘤,Intrahepatic Tumor,12,3
軽度肝内胆管拡張像,Mild Intrahepatic Bile Duct Dilation Image,12,2
濃染する,Enhanced,12,7
血流不均衡,Blood Flow Imbalance,12,7
染まり抜け結節,Enhancement Loss Nodule,12,3
肝内低吸収域,Intrahepatic Low Absorption Area,12,1
嚢胞状拡張,Cystic Dilation,12,0
末梢胆管拡張,Peripheral Bile Duct Dilation,12,2
早期増強,Early Enhancement,12,7
微小結節状の早期濃染,Micro Nodular Early Enhancement,12,3
濃染する結節,Enhanced Nodule,12,3
結節状の早期濃染像,Nodular Early Enhanced Image,12,3
引き続き肝縁鈍化,Continued Blunting of Liver Edge,12,4
嚢状拡張,Cystic Dilation,12,0
肝脂肪沈着,Liver Fat Deposition,12,1
増強腫瘤,Enhanced Tumor,11,3
Lip貯留,Lip Retention,11,7
門脈気腫,Portal Vein Pneumatosis,11,6
濃染領域,Enhanced Area,11,7
取り込み低下,Decreased Uptake,11,1
増強効果が不均一,Uneven Enhancement Effect,11,7
拡張胆管,Dilated Bile Duct,11,2
低信号域,Low Signal Area,11,1
早期濃染するHCC,Early Enhanced HCC,11,3
低吸収領域,Low Absorption Area,11,7
リング状造影効果,Ring-shaped Contrast Effect,11,3
増強効果の不均一,Uneven Enhancement Effect,11,7
造影効果の強い領域,Highly Enhanced Area,11,7
軟部濃度上昇,Increased Soft Tissue Density,11,7
充実部分,Solid Part,11,3
造影増強,Enhanced Contrast,11,7
メタリックステント,Metallic Stent,11,7
点状造影効果,Punctate Contrast Effect,11,7
濃度が低下,Decreased Density,11,1
吸収値の高い液体貯留,High Absorption Fluid Retention,11,7
NBCA,NBCA,11,7
陥凹も,Depression,11,4
leak,Leak,11,7
造影病変,Contrast Lesion,11,7
cystic_lesions,Cystic Lesions,11,0
高吸収構造,High Absorption Structure,11,7
門脈内ガス,Portal Vein Gas,11,6
低吸収値,Low Absorption Value,11,1
異常血管,Abnormal Vessel,11,7
中心部低吸収,Central Low Absorption,11,7
低濃度領域,Low Density Area,10,1
pneumoblia,Pneumobilia,10,6
萎縮性変化,Atrophic Changes,10,4
遊離胆管,Free Bile Duct,10,7
異常集積,Abnormal Accumulation,10,7
肝門部膿瘍,Hilar Abscess,10,7
単純性嚢胞,Simple Cyst,10,0
濃度不均一,Uneven Density,10,7
脂肪肝領域,Fatty Liver Area,10,1
defect,Defect,10,7
肝内嚢胞,Intrahepatic Cyst,10,0
肝内門脈ガス,Intrahepatic Portal Vein Gas,10,6
早期の染まり,Early Staining,10,7
集積不良,Poor Accumulation,10,7
腫瘍によってencasement,Encasement by Tumor,10,3
容積増加,Volume Increase,10,4
石灰化病変,Calcified Lesion,10,5
肝嚢胞脾嚢胞腎嚢胞,"Liver Cyst, Spleen Cyst, Kidney Cyst",10,0
乏血性変化,Hypovascular Change,10,7
肝縁凹凸不整,Irregular Liver Edge,10,4
浮腫像,Edema Image,10,7
低濃度SOL,Low Density SOL,10,3
血栓閉塞,Thrombotic Occlusion,10,7
Lipiodol沈着,Lipiodol Deposition,10,7
enhanced_nodule,Enhanced Nodule,10,3
肝実質,Liver Parenchyma,10,7
瘻孔,Fistula,10,7
高濃度構造,High Density Structure,10,7
嚢胞構造,Cystic Structure,10,0
造影むら,Uneven Contrast,10,7
軟部影わずか,Slight Soft Tissue Shadow,10,7
濃度は不均一に低下,Unevenly Decreased Density,10,7
末梢肝内胆管拡張,Peripheral Intrahepatic Bile Duct Dilation,10,2
tube_stent,Tube Stent,10,7
線状の低吸収,Linear Low Absorption,10,7
門脈周囲低吸収,Periportal Low Absorption,10,7
ドレーンチューブ,Drain Tube,10,7
金属コイル,Metal Coil,10,7
乏血化,Hypovascularization,10,7
染まる結節,Staining Nodule,10,3
早期造影病変,Early Enhanced Lesion,10,7
液体が貯留,Fluid Retention,10,7
斑な増強効果,Patchy Enhanced Effect,9,7
高信号域,High Signal Area,9,7
濃度は不均一,Uneven Density,9,7
動静脈shunt,Arteriovenous Shunt,9,7
ムラ,Patchy,9,7
低濃度の領域,Low Density Area,9,7
小結節状の構造,Small Nodular Structure,9,3
肝内胆拡張,Intrahepatic Biliary Dilation,9,2
posterior_parahepatic_cyst,Posterior Parahepatic Cyst,9,0
脂肪変性,Fatty Degeneration,9,1
肝内胆道気腫,Intrahepatic Biliary Pneumatosis,9,6
索状構造,Striated Structure,9,7
軟部濃度結節,Soft Tissue Density Nodule,9,3
pneumobillia,Pneumobilia,9,6
異常軟部組織,Abnormal Soft Tissue,9,7
口径変化,Diameter Change,9,7
側副路発達,Developed Collateral Route,9,7
wash_out像,Washout Image,9,3
集積亢進,Increased Accumulation,9,7
造影効果の遷延,Delayed Enhancement,9,7
被膜形成,Capsule Formation,9,7
泣き別れ,Irregular Pattern,9,7
脂肪の含有,Fat Inclusion,9,1
