keyword,frequency,category
ERCP後膵炎,72,2
嚢胞変性,70,0
チューブ,70,6
膵炎後変化,69,6
前方浸潤,69,6
脂肪沈着,69,6
嚢胞性変化,68,0
膵頭部嚢胞,68,0
炎症波及,67,6
膵仮性嚢胞,66,0
低吸収結節,66,1
通常型膵癌,66,1
癌病変,64,1
毛羽立ち,63,6
脂肪織濃度の上昇,62,6
腫大して,61,2
SPN,61,1
膵炎後の仮性嚢胞,61,0
膵液漏,60,1
脂肪膵,60,7
浮腫性変化,60,6
仮性膵嚢胞,59,0
膵浸潤,58,1
炎症性変化,58,6
被包化液体貯留腔,56,6
壊死性膵炎,56,2
内分泌腫瘍,55,1
変性,54,6
多房性嚢胞,51,0
感染,50,6
残膵萎縮,49,3
実質萎縮,49,3
MCN,49,1
膵管内乳頭粘液性腺癌,49,0
膵腺房細胞癌,48,1
分岐型IPMN,48,0
嚢胞様構造,48,0
SOL,46,1
結節影,46,1
膵のう胞,44,0
膵内石灰化,43,4
腫瘤状,42,1
乏血性結節,42,1
腫瘍性病変,41,1
腫瘍浸潤,40,1
主膵管チューブ,40,6
脂肪化,39,7
retention_cyst,38,0
膵頭部IPMN,38,0
膵IPMC,37,1
結節状構造,37,1
転移巣,36,1
膵小嚢胞,36,0
残膵再発,36,1
pNET,36,6
腫脹,36,2
まずは分枝型IPMN,35,0
膵内胆管浸潤,35,1
膵神経内分泌腫瘍,35,1
NET病変,34,1
膵外浸潤,33,1
被膜様構造,33,6
原発病変,33,1
腺房細胞癌,32,1
膵管内乳頭状粘液性腫瘍,32,1
膵癌の浸潤,31,1
嚢胞壁,30,0
膵管癌,29,1
急性膵炎後,29,6
インスリノーマ,29,1
膵管内乳頭粘液性腫瘍,28,0
膵頭部嚢胞性病変,28,0
嚢胞成分,28,0
萎縮気味,28,3
主膵管狭窄,28,5
膵原発,28,1
重症膵炎,28,2
膿瘍形成,27,1
被包化壊死,27,6
主膵管途絶,27,5
単房性嚢胞性病変,27,0
低濃度病変,27,6
groove膵癌,27,1
残膵癌,26,1
良性,26,7
neuroendocrine_tumor,26,1
分枝型IPMNs,26,0
嚢胞内,25,0
膵癌再発,25,1
膵管狭窄,25,5
solid_pseudopapillary_neoplasm,25,1
膿瘍腔,25,6
IPMN）,24,0
低吸収病変,24,6
嚢胞状構造,24,0
血管腫,24,1
乏血性の領域,24,1
変形,24,6
術後性変化,24,6
膵嚢胞性腫瘤,23,0
fluid_collection,23,6
膵後方浸潤,22,6
膵前方浸潤,22,6
分岐膵管型IPMN,22,0
PNEN,22,1
脂肪組織混濁,22,6
膵充実性腫瘤,21,1
膵腫瘤,21,1
多血性結節,21,1
早期濃染腫瘤,20,1
炎症後変化,20,6
嚢胞形成,20,0
膵炎後の変化,20,6
腺房細胞癌原発巣,20,1
嚢胞性構造,19,0
膵尾部癌,19,1
脂肪織混濁像,19,6
膵癌浸潤,19,1
腫瘤状病変,19,1
点状石灰化,19,4
慢性膵炎像,19,4
小さな嚢胞,18,0
急性膵炎再燃,18,2
endocrine_tumor,18,1
capsule-like_rim,18,6
分枝型,18,0
嚢胞部分,17,0
小結石,17,4
結節様構造,17,1
AIP,17,2
膵SPN,17,1
小嚢胞構造,17,0
膵混合型IPMN,16,0
進行膵癌,16,1
胆石性膵炎,16,2
脂肪変性／浸潤,16,7
膵過誤腫,16,1
IPMN由来,16,0
膵炎再燃,16,2
微小嚢胞性病変,16,0
実質腫大,16,2
多房状嚢胞,16,0
膵炎像,16,2
GIST,16,1
肺癌膵転移,16,1
分枝膵管型,15,0
ドレナージチューブ,15,6
乏血性の結節,15,1
膵癌病変浸潤,15,1
膵小嚢胞性病変,15,0
分枝膵管型のIPMN,15,0
膵炎所見,15,2
分枝型膵管内乳頭粘液性腫瘍,15,0
急性膵炎像,15,2
再発腫瘤,15,1
cystic_lesions,15,0
膿瘍化,15,1
被包化液体貯留像,15,6
嚢胞状病変,15,0
炎症波及像,15,6
濃染腫瘤,15,1
残膵脂肪浸潤,15,7
リンパ管腫,14,0
IPMA,14,1
早期膵癌,14,1
嚢胞状,14,0
結節状の構造,14,1
微小腫瘍,14,1
主膵管内膵石,14,4
通常型膵管癌,14,1
膵頭部嚢胞性結節,14,0
術後,14,6
旧い仮性嚢胞,14,0
重症急性膵炎,14,2
微小膵癌,13,1
膵炎合併,13,2
PNET,13,1
膵頭部腫瘍,13,1
嚢胞部,13,0
残存病変,13,6
高吸収結節,13,1
小LDA,13,6
主膵管型ないし混合型のIPMN,13,0
walled-off_necrosis,13,6
漿液性嚢胞腺腫,13,1
膵癌合併,13,1
膵炎増悪,12,2
局所進行膵癌,12,1
十二指腸乳頭部癌,12,1
脂肪織の混濁,12,6
high-risk_stigmata,12,6
充実性成分,12,1
後膵炎,12,2
腎癌膵転移,12,1
転移病変,12,1
治療後病変,12,6
dirty_fat_sign,12,6
のう胞,12,0
単房性嚢胞,12,0
原発性膵癌,12,1
再発腫瘍,12,1
膵頭部癌の原発巣,12,1
膵粘液癌,12,1
粗大病変,12,6
肉芽組織,12,6
慢性膵炎急性,11,4
慢性膵炎後変化,11,4
随伴性膵炎,11,2
混合型のIPMN,11,0
早期濃染する結節,11,1
炎症所見,11,6
染まる領域,11,6
膵脂肪置換,11,6
腫瘤状領域,11,1
腺腫,11,1
膵癌の再発,11,1
膵NETs,11,1
IPMN病変,11,0
groove膵炎,11,2
間質性浮腫性膵炎,11,2
厚い被膜様構造,11,6
浸潤癌,11,1
のう胞性病変,10,0
転移性膵尾部腫瘍,10,1
脂肪濃度腫瘤,10,1
直接浸潤,10,6
BD-IPMN,10,0
Groove膵癌,10,1
薬剤性膵炎,10,2
嚢胞様病変,10,0
脂肪組織濃度上昇,10,6
軟部組織影,10,6
分枝型或いは混合型,10,0
術後膵液瘻,10,6
拡張膵管,10,5
膵管stent,10,6
遺残したチューブ,10,6
低濃度陰影,10,6
脂肪濃度域,10,6
小嚢胞病変,9,0
脂肪織濃度は上昇,9,6
萎縮性変化,9,3
造影不良腫瘤,9,1
MPD拡張,9,5
膵実質腫大,9,2
膵内胆管拡張,9,5
腫瘤構造,9,1
drainage_tube,8,6
膵小石灰化,8,4
主膵管腫脹,8,5
高吸収腫瘤,8,1
stent_tube,8,6
膵腫脹,8,2
結節様陰影,8,1
嚢胞状拡張,8,0
capsular-like_rim,8,6
cystic_mass,8,0
腫瘤形成,8,1
脂肪織毛羽立ち,8,6
広がる被包化液貯留,8,6
腫瘤状腫大,8,1
早期増強結節,8,1
結節様病変,8,1
腫瘍増大,8,1
嚢胞性腫瘍,8,0
軟部濃度腫瘤,8,1
主膵管閉塞,8,5
厚い被膜,8,6
壊死結節,8,1
被膜,8,6
脾腫瘍,8,1
被包化液貯留腔,7,6
膵脂肪化,7,6
胆膵管合流異常,7,6
膵萎縮腎嚢胞,7,3
cyst,7,0
被包化膵壊死,7,6
APFC,7,6
膵がん,7,1
stent,7,6
capsule_like_rim,7,6
膵内小石灰化,7,4
腫大様,6,2
膵内胆管結石,6,4
嚢胞状の主膵管拡張,6,5
膵管ステント留置,6,6
嚢胞状の構造,6,0
結節病変,6,1
膵脂肪沈着,6,6
石灰化病変,6,4
膵頭部低吸収,6,6
拡張分枝膵管様の構造,6,5
膵頚部萎縮,6,3
膵管内結石,6,4
膵頭部病変,6,6
副膵管拡張,6,5
萎縮ぎみ,5,3
傍大動脈リンパ節腫大,5,6
結節状の領域,5,1
微小低吸収域,5,6
主膵管ステント,5,6
胆管膵管拡張,5,5
狭窄前拡張,5,5
主膵管拡張不変,5,5
萎縮変化,5,3
脂肪の混濁,5,6
mass形成,5,1
脂肪濃度の結節,5,1
引き続き萎縮,5,3
腫瘤増大,5,1
嚢胞状の分枝膵管拡張,5,5
嚢胞様の像,5,0
主膵管tube,5,6
腫瘤様構造,5,1
ENPD,5,6
結節部分,5,1
充実結節,5,1
膵低吸収,5,6
結節状病変,5,1
目立つ膵管拡張,5,5
低濃度SOL,5,1
膵石~膵石灰化,5,4
主膵管狭窄部,5,5
腫瘤部,5,1
膵管壁肥厚,5,5
嚢胞内結石,5,4
引き続き膵石,5,4
結節状の病変,5,1
充実性陰影,5,1
小嚢胞性結節,4,0
膵実質内結石,4,4
主膵管内腫瘍,4,1
膵管内air,4,6
粗大膵石,4,4
向けた毛羽立ち,4,6
脂肪識の不明瞭化,4,6
嚢胞性病変主膵管拡張,4,5
P_tube,4,6
膵管口径不整,4,5
小石灰,4,4
腫瘍部,4,1
低吸収の領域,4,6
被包化進行,4,6
結節状濃染,4,1
膵石増大,4,4
膵損傷,4,6
ENPD_tube,4,6
乏血性結節様所見,4,1
膵管狭窄部,4,5
嚢胞整病変,4,0
主膵管拡張無く,4,5
膵壊死部,4,6
主膵管拡張といった,4,5
膵結節,4,1
膵胆道合流異常,4,6
被膜様低吸収域,4,6
結節状脂肪濃度,4,1
石灰化構造,4,4
cytsic_lesions,4,0
多房状嚢胞性病変,4,0
small_cyst,4,0
嚢胞間,4,0
小結節影,4,1
嚢胞らしい貯留,4,0
萎縮性,4,3
造影腫瘤,4,1
索状の脂肪織濃度上昇,4,6
膵管狭小化,4,5
like_rim,4,6
枝膵管拡張,4,5
残膵膵管拡張,4,5
結節状濃染域,4,1
充実性成分新出,4,1
circumportal_pancreas,3,6
低吸収の腫瘍影,3,1
脂肪脂肪組織濃度上昇,3,6
脂肪織吸収値の上昇,3,6
脂肪識濃度上昇,3,6
多房性病変,3,6
微小結節,3,1
主膵管口径変化,3,5
濃染性結節,3,1
内部低吸収,3,6
脂肪織濃度混濁域,3,6
腫大様所見,3,2
至る仮性嚢胞,3,0
tiny_cystic_lesion,3,0
多血結節,3,1
ERPD,3,6
被包化しかけた液体貯留,3,6
腫瘤状陰影,3,1
cystic_nodule,3,0
結節様の像,3,1
分枝膵管拡張様構造,3,5
腫瘤状軟部影,3,1
嚢胞状結節,3,0
腫瘤形成性病変,3,1
被包化嚢胞,3,0
低吸収領域,2,6
結節状構造物,2,1
石灰化影,2,4
嚢胞性陰影,2,0
粒状石灰化,2,4
benign_cystic_lesion,2,0
移植膵腫大,2,2
脂肪織置換,2,6
結節状造影効果,2,1
小嚢胞状構造,2,0
低吸収結節状領域,2,1
萎縮不変,2,3
膵頭部腫脹,2,2
膵実質萎縮高度,2,3
腫瘤状構造,2,1
腫瘤様病変,2,1
粗大石灰化,2,4
脂肪識混濁,2,6
膵点状石灰化,2,4
微小膵石,2,4
嚢胞様腫瘤,2,0
嚢胞性分,2,0
膵管気腫,2,6
膵管閉塞の病変,2,5
ひきつづき膵石,2,4
微細石灰化,2,4
低吸収軟部陰影,2,6
部分枝膵管拡張,2,5
膵実質菲薄化,2,3
膵脂肪変性,2,6
膵頭部嚢胞病変,2,0
膵管結石,2,4
膵結石,2,4
膵頭部腫瘤,2,1
嚢胞性病枝,2,0
腫瘍部分,2,1
腫瘤様構造物,2,1
嚢胞結節,2,0
脂肪織が上昇,2,6
脂肪識濃度の上昇,2,6
主膵管拡大,1,5
膵腎萎縮,1,3
膵萎縮高度,1,3
ないしは萎縮,1,3
膵萎縮部,1,3
嚢胞状腫瘤,1,0
小膵石,1,4
脂肪織混濁液貯留,1,6
ないし膵石,1,4
膵管stent_tube,1,6
ENPD留置,1,6
脂肪濃度陰影,1,6
cystic_nodules,1,0
嚢胞性の病変,1,0
腫瘤様腫大,1,1
膵主膵管拡張,1,5
小腫瘤構造,1,1
脂肪濃度の低吸収域,1,6
小嚢胞ないし分枝膵管拡張,1,0
脂肪織濃度も上昇,1,6
結節性病変,1,1
膵管血腫,1,6
微小膵嚢胞,1,0
膵内結石,1,4
脂肪織吸収値上昇,1,6
膵管tube先端位置,1,6
膵高度萎縮,1,3
腫瘤状の構造,1,1
PanIN+貯留嚢胞,1,6
P-tube,1,6
棍棒状石灰化,1,4
萎縮ないし低,1,3
脂肪織濃度上昇／浸出液貯留,1,6
チューブステント,1,6
短い膵管チューブ,1,6
結節状脂肪浸潤,1,1
引き続き膵萎縮,1,3
主膵管内気腫,1,5
主膵管内結石,1,4
胆石膵萎縮,1,3
complicated_cyst,1,0
嚢胞性病変増大,1,0
結節膵,1,1
脂肪混濁,1,6
