keyword,frequency,category
third_inflow,140,7
造影結節,136,3
混合型肝癌,135,3
うっ血,132,4
炎症波及,130,7
肝内胆管気腫,129,6
小低吸収域,122,3
結節影,122,3
後期染まり抜け,120,3
造影不良,119,7
viable_lesion,119,3
脂肪化,118,1
慢性肝障害~肝硬変,117,4
造影増強効果,116,7
HCC病変,116,3
periportal_edema,114,7
浮腫性変化,112,7
Lipiodol集積,111,7
胆道気腫,110,6
過形成結節,110,3
リピオドール集積,108,7
染まりムラ,108,7
肝転移病変,108,3
総胆管拡張,106,2
局所血流異常,106,7
脂肪,105,1
肝細胞癌の再発,105,3
肝門部領域胆管癌,104,3
軟部濃度組織,103,7
P-V_shunt,103,7
肝内胆管結石,102,5
偽脂肪腫,102,3
被包化液貯留,102,7
cavernous_transformation,100,7
肝腫瘍,98,3
仮性動脈瘤,98,7
洗い出し,93,3
血流障害,93,7
肝内小嚢胞,93,0
肝萎縮,91,4
直腸癌肝転移,90,3
脂肪濃度,90,1
lipiodol集積,88,7
脂肪肝・肝嚢胞,87,1
海綿状血管腫,87,3
肝転移再発,86,3
A-Pshunt,86,7
軟部組織陰影,86,7
肝内病変,82,7
低吸収病変,81,3
リピオドール沈着,81,7
急性肝障害,78,4
濃染像,77,7
肝辺縁鈍化,76,4
肝結節,75,3
局所再発,75,3
増強域,74,7
濃度上昇,74,7
mass,73,3
胆管気腫,73,6
慢性肝障害パターン,73,4
血液灌流異常,72,7
ドレナージチューブ,72,7
肝細胞腺腫,71,3
早期濃染領域,71,7
小LDA,70,3
PSC,69,7
軽度胆管拡張,68,2
肝損傷,68,7
胆管炎合併,68,7
肝内胆管拡張像,68,2
乏血性病変,66,3
小さな肝嚢胞,65,0
血流改変,65,7
血管筋脂肪腫,64,3
軟部濃度構造,64,7
造影効果が低下,64,7
高吸収結節,64,3
悪性リンパ腫,63,3
悪性腫瘍,62,3
門脈腫瘍栓,62,7
微小膿瘍,62,7
P-Vシャント,62,7
LDAs,62,3
陥凹,61,4
肝HCC,61,3
肝癌,61,3
転移病変,61,3
早期濃染-washout,61,3
早期増強域,61,7
門脈血栓,61,7
炎症後変化,60,7
軟部組織濃度,60,7
被包化液体貯留,60,7
早期濃染腫瘤,60,3
鈍化変形,59,4
肥大,59,4
Lipiodol貯留,59,7
リピオドール,59,7
辺縁鈍化,58,4
焼灼域,56,7
ガス像,55,6
extravasation,55,7
早期造影効果,55,7
Pneumobilia,55,6
S状結腸癌肝転移,55,3
鉄沈着,54,7
LCパターン,54,4
胆管狭窄,54,7
TACE後病変,53,7
RFA後の変化,52,7
軟部濃度腫瘤,52,3
腫瘍性病変,52,3
仮性瘤,51,7
肝硬変の像,51,4
高分化HCC,51,3
肝外胆管拡張,51,2
血栓化,51,7
広狭不整,51,7
低吸収化,51,7
脂肪濃度上昇,51,1
肝内再発,50,3
アーチファクト,50,7
微小石灰化,50,5
早期濃染する結節,49,3
濃度低下,48,7
低濃度病変,47,7
増強効果は不均一,46,7
急性胆管炎,46,7
結節状濃染,45,3
小病変,45,3
結節性病変,45,3
fluid_collection,45,7
壁肥厚像,44,4
気腫,44,6
液貯留腔,44,7
tiny_cyst,44,0
造影欠損,43,7
残肝再発,43,3
乏血域,42,7
脂肪浸潤,42,1
Lp集積,42,7
軟部濃度部分,42,7
脂肪腫,42,3
早期造影増強,42,7
被膜様構造,42,7
lipiodol沈着,42,7
チューブ,42,7
肝炎,41,4
造影ムラ,41,7
感染合併,41,7
腫瘤状,40,3
肝機能障害,40,4
壁在結節,40,3
CCC,40,3
肝内コントラスト不良,39,7
微小血管腫,39,3
濃染する領域,38,7
充実部,38,3
gas,38,6
脂肪性結節,38,3
巨大肝嚢胞,38,0
脂肪含有,37,1
肉芽腫,37,3
内部壊死,36,7
胆管周囲嚢胞,36,0
造影不良結節,35,3
造影効果不均一,35,7
残存病変,35,7
線維化,34,7
肝拡大,34,4
軽度肝内胆管拡張,33,2
結節状構造,33,3
乏血性腫瘍,33,3
門脈血流低下,33,7
complicated_cyst,32,0
低濃度化,32,1
コイル,32,7
小早期濃染像,32,3
cysts,32,0
血流増加,32,7
Lpd集積,31,7
境界病変,31,7
低吸収SOL,31,3
peribiliary_cysts,31,0
肝内早期濃染,31,7
クリップ,31,7
膿瘍化,31,7
占拠性病変,30,3
結節状染まり,30,3
描出不良,30,7
傍胆管嚢胞,29,0
石灰化肉芽腫,29,5
ICC,29,3
膿瘍腔,28,7
脂肪成分,28,1
肝SOL,28,3
軟部腫瘤,28,3
早期増強結節,28,3
早期濃染病変,27,3
膨隆,27,4
出血性嚢胞,27,0
ヘモジデローシス,27,7
造影効果不良,27,7
結節状の早期濃染域,26,3
tube,26,7
focal_spared_area,26,7
腫瘤形成,26,3
遠肝性側副路,26,7
再発腫瘤,26,3
低造影域,26,7
肝表凹凸不整,26,4
括れ,26,4
肝門部病変,26,7
乏血性領域,26,7
鈍化しています,26,4
腫瘤像,25,3
結節状の低濃度域,25,3
肝表不整,25,4
tiny_cysts,25,0
ガス貯留,25,6
微小結節,25,3
腫大して,25,4
RFA後瘢痕,25,7
peribiliary_cyst,24,0
門脈閉塞,24,7
造影効果不良域,24,7
造影欠損域,24,7
造影腫瘤,24,3
瘢痕,23,7
吸収値低下,23,1
造影剤の血管外漏出像,23,7
lipiodol,23,7
肝海綿状血管腫,23,3
異常造影効果,23,7
鬱血,22,7
損傷,22,7
Cysts,22,0
リピオドール残存,21,7
pseudolipoma,21,7
微小LDA,21,3
lipiodol貯留,21,7
還流異常域,21,7
ステント閉塞,21,7
嚢胞性変化,21,0
嚢胞状,21,0
屈曲,21,4
増強効果亢進,21,7
瘤状拡張,21,7
肝硬変パターンの肝変形,20,4
dysfunction_pattern,20,7
Lip集積,20,7
fluid,20,7
lipiodolの貯留,20,7
微小低吸収域,20,7
早期濃染後,20,7
萎縮変形,20,4
動脈口径不整,20,7
早期濃染する,20,7
高濃度域,20,7
遠肝性側副血行路,19,7
血流低下,19,7
嚢胞様構造,19,0
高信号,19,7
肝小石灰化,19,5
被膜状構造,19,3
LC,19,4
脂肪含有腫瘤,19,3
濃染腫瘤,19,3
吸収値上昇,19,7
壊死巣,19,7
突出像,19,4
被包化液体貯留腔,19,7
嚢胞状構造,19,0
Lipiodol沈着域,19,7
肝内血流,19,7
早期造影,18,7
PV-shunt,18,7
periportal_collar_sign,18,7
濃染しています,18,7
斑状濃染,18,7
点状早期濃染,18,7
結節構造,18,3
結節状早期濃染域,18,3
肝硬変の肝形態,18,4
AP_shunts,18,7
低造影結節,18,3
腫瘤状構造,18,3
胆管結石,17,5
lipiodol_deposit,17,7
肝内外胆管拡張,17,2
金属アーチファクト,17,7
腫瘤構造,17,3
低濃度結節,17,3
索状影,17,7
腫脹,17,4
早期描出,17,7
造影不均一,17,7
肝硬変パターン,17,4
偏位,17,4
狭小化ないし閉塞,17,4
ring_enhancement,17,3
胆管腫瘍栓,17,7
気泡,17,6
変性,17,7
肝辺縁鈍,16,4
乏血性の結節,16,3
肝濃度低下,16,1
造影効果の不良な領域,16,7
PTCD_tube,16,7
嚢胞壁,16,0
胆管気腫像,16,6
造影欠損像,16,7
異常増強,16,7
小結節状の早期濃染,16,7
後期相染まり抜け,16,3
早期濃染する領域,16,7
HCCs,16,3
狭窄後拡張,16,7
液体貯留像,16,7
巨大嚢胞,15,0
脂肪肝の所見,15,1
LC-pattern,15,4
線状高吸収,15,7
貯留物,15,7
造影効果低下,15,7
楔状早期濃染,15,7
小結石,15,5
軟部濃度病変,15,7
軟部組織像,15,7
cyst,15,0
脂肪濃度結節,15,3
小膿瘍,15,7
出血性肝嚢胞,15,0
新出病変,15,7
結節状の濃染,15,3
hypervascular_foci,14,3
リピオドールの貯留,14,7
腫瘤状病変,14,3
造影領域,14,7
焼灼後変化,14,7
肝内LDA,14,3
肝内低濃度結節,14,3
結節状早期濃染像,14,3
吸収値が上昇,14,7
肝LDA,14,3
肝実質萎縮,14,4
乏血性の領域,14,7
はまだら,14,7
造影剤濃度,14,7
グリソン浮腫,14,7
楔型の肝動脈血流亢進域,14,7
低吸収成分,14,7
乏血生結節,14,3
染まり抜ける結節,14,3
早期相濃染,14,7
小濃染,14,7
浮腫状壁肥厚,14,7
肝内胆管狭窄,14,7
肝内低濃度域,13,7
ステントの開存,13,7
AV_shunt,13,7
cystic_lesion,13,0
肝内SOL,13,3
小SOL,13,3
air_density,13,6
造影効果増強,13,7
肝門部腫瘤,13,3
カテーテル,13,6
点状高吸収域,13,7
PVshunt,13,7
硬化性血管腫,13,3
後期wash_out,13,3
脂肪肝の像,13,1
造影効果が不均一,13,7
軟部濃度影,13,7
被膜,13,3
求肝性側副路,13,7
索状の造影不良域,13,7
Pneuombilia,13,6
被膜下血腫,13,7
fat_spared_area,13,7
胆管tube,13,7
結節状造影不良域,13,3
吸収値は低く,13,1
ムラ染まり,13,7
結節様構造,13,3
造影効果はまだら,13,7
肝結石,12,5
早期濃染小領域,12,7
造影効果の弱い領域,12,7
小低吸収SOL,12,3
cavrnous_tranformatio,12,7
小濃染域,12,7
血流不良,12,7
結節様,12,3
表面凹凸,12,4
結節様病変,12,3
液状化,12,7
異常増強効果,12,7
結節状造影効果,12,3
肝嚢胞性病変,12,0
充実成分,12,7
金属ステント,12,7
Wash_out,12,3
mass_effect,12,3
早期造影結節,12,3
Lip沈着,12,7
肝表面凹凸不整,12,4
Lipidool,12,7
嚢胞性腫瘤,12,0
索状の低吸収域,12,7
肝内腫瘤,12,3
軽度肝内胆管拡張像,12,2
濃染する,12,7
血流不均衡,12,7
染まり抜け結節,12,3
肝内低吸収域,12,1
嚢胞状拡張,12,0
末梢胆管拡張,12,2
早期増強,12,7
微小結節状の早期濃染,12,3
濃染する結節,12,3
結節状の早期濃染像,12,3
引き続き肝縁鈍化,12,4
嚢状拡張,12,0
肝脂肪沈着,12,1
増強腫瘤,11,3
Lip貯留,11,7
門脈気腫,11,6
濃染領域,11,7
取り込み低下,11,1
増強効果が不均一,11,7
拡張胆管,11,2
低信号域,11,1
早期濃染するHCC,11,3
低吸収領域,11,7
リング状造影効果,11,3
増強効果の不均一,11,7
造影効果の強い領域,11,7
軟部濃度上昇,11,7
充実部分,11,3
造影増強,11,7
メタリックステント,11,7
点状造影効果,11,7
濃度が低下,11,1
吸収値の高い液体貯留,11,7
NBCA,11,7
陥凹も,11,4
leak,11,7
造影病変,11,7
cystic_lesions,11,0
高吸収構造,11,7
門脈内ガス,11,6
低吸収値,11,1
異常血管,11,7
中心部低吸収,11,7
低濃度領域,10,1
pneumoblia,10,6
萎縮性変化,10,4
遊離胆管,10,7
異常集積,10,7
肝門部膿瘍,10,7
単純性嚢胞,10,0
濃度不均一,10,7
脂肪肝領域,10,1
defect,10,7
肝内嚢胞,10,0
肝内門脈ガス,10,6
早期の染まり,10,7
集積不良,10,7
腫瘍によってencasement,10,3
容積増加,10,4
石灰化病変,10,5
肝嚢胞脾嚢胞腎嚢胞,10,0
乏血性変化,10,7
肝縁凹凸不整,10,4
浮腫像,10,7
低濃度SOL,10,3
血栓閉塞,10,7
Lipiodol沈着,10,7
enhanced_nodule,10,3
肝実質,10,7
瘻孔,10,7
高濃度構造,10,7
嚢胞構造,10,0
造影むら,10,7
軟部影わずか,10,7
濃度は不均一に低下,10,7
末梢肝内胆管拡張,10,2
tube_stent,10,7
線状の低吸収,10,7
門脈周囲低吸収,10,7
ドレーンチューブ,10,7
金属コイル,10,7
乏血化,10,7
染まる結節,10,3
早期造影病変,10,7
液体が貯留,10,7
斑な増強効果,9,7
高信号域,9,7
濃度は不均一,9,7
動静脈shunt,9,7
ムラ,9,7
低濃度の領域,9,7
小結節状の構造,9,3
肝内胆拡張,9,2
posterior_parahepatic_cyst,9,0
脂肪変性,9,1
肝内胆道気腫,9,6
索状構造,9,7
軟部濃度結節,9,3
pneumobillia,9,6
異常軟部組織,9,7
口径変化,9,7
側副路発達,9,7
wash_out像,9,3
集積亢進,9,7
造影効果の遷延,9,7
被膜形成,9,7
泣き別れ,9,7
脂肪の含有,9,1
肝細胞相低信号結節,9,3
網状のモザイクパターン,9,7
早期造影増強結節,9,3
増強結節,9,3
のう胞,9,0
壊死状,9,7
異物,9,7
小濃染結節,9,3
造影遅延域,9,7
軽度肝腫大,9,4
壁在結節様の像,9,3
被包化液体,8,7
濃度不整,8,7
ウォッシュアウトする領域,8,3
嚢胞成分,8,0
巨大肝腫瘤,8,3
早期濃染SOL,8,3
胆管拡張域,8,2
壁不整,8,7
早期染,8,7
胆道通過障害,8,7
実質萎縮,8,4
門脈内血栓,8,7
結節状の低吸収域,8,3
病変増加,8,7
塞栓物質,8,7
高吸収病変,8,7
後期washout,8,3
病変腫瘍,8,3
内瘻化,8,7
門脈狭窄,8,7
門脈内air,8,6
リング状増強結節,8,3
リピオドール欠損部,8,7
液体濃度,8,7
V-P_shunt,8,7
肝被膜外へ進展,8,7
早期濃染~洗い出し,8,3
脂肪肝高度,8,1
染まる病変,8,7
早期濃染する小領域,8,7
圧排によって内側へ偏位,8,7
胆管拡張像,8,2
低吸収値結節,8,3
リング状増強病変,8,3
吸収値が低下,8,1
貯留液,8,7
small_cysts,8,0
小石灰化像,8,5
dull_edge,8,4
高吸収化,8,7
乏血性のLDA,8,3
不染域,8,7
wash_outする,8,3
Lipiodolの貯留,8,7
肝静脈内腫瘍栓,8,7
ENBD_tube,8,7
低造影腫瘤,8,3
小低吸収結節,8,3
脂肪結節,8,3
肝低吸収結節,8,3
小結節状構造,8,3
wash-out,8,3
濃度は上昇,7,7
肝低濃度結節,7,3
低吸収域結節,7,3
嚢胞状病変,7,0
stent,7,7
high-high_lesion,7,7
八つ頭様腫瘤,7,3
微小病変,7,7
まだらに低下,7,1
肝門脈内ガス,7,6
小さな肝細胞相低信号結節,7,3
肝萎縮高度,7,4
複雑嚢胞,7,0
造影効果の不均一性,7,7
腫瘍栓充満,7,7
拡張増悪,7,7
造影効果の乏しい病変,7,7
線状の早期濃染域,7,7
血流の増加,7,7
リング状染まり,7,3
焼灼変化,7,7
低濃度域~液体貯留腔,7,7
引き続き拡張,7,2
washoutする領域,7,3
後期相低濃度結節,7,3
早期濃染域のムラ,7,7
嚢胞拡大,7,0
結節状の染まり抜け,7,3
異常軟部組織の増生,7,7
乏血性の腫瘍,7,3
静脈内腫瘍栓,7,7
被包化貯留腔,7,7
造影効果乏しい病変,7,7
低濃度+増強不良,7,7
索状の増強効果,7,7
肝縁鈍化変形,7,4
グラフト肝は低濃度,7,7
増強効果のムラ,7,7
高濃度結節,7,3
造影効果のある領域,7,7
索状不染域,7,7
肝内胆管拡張ないし嚢胞,7,2
washout像,7,3
グラフト肝の胆管拡張,7,2
効果不良な部分,7,7
結節状の早期の染まり,7,3
vascular_lake様の構造,7,3
数珠状拡張,7,2
肝実質類若干低濃度,7,1
異常濃染,7,7
小血栓,7,7
くぼみ,7,7
高信号結節,7,3
lipiodol沈着部,7,7
早期濃染・洗い出し,7,3
楔状域,7,7
血管外漏出像,7,7
環境凹凸不整,7,4
腫瘍増大,7,3
あわい低吸収,7,1
AVshunt,7,7
引き続き肝萎縮,7,4
拡張±腫瘍栓,7,7
右側肝円索,7,7
CT値上昇,7,7
低吸収な領域,7,7
まだらな染まり,7,7
血腫貯留,7,7
楔状早期濃染域,7,7
EOB取り込み不良結節,7,3
低エコー域,7,7
梗塞領域,7,7
小結節状増強効果,7,3
spared_lesion,7,7
海綿状肝血管腫,7,3
グラフト肝,7,7
乏血性な領域,7,7
液体充満,7,7
ホモグラフト,7,7
血腫瘤,7,3
地図状の低濃度,7,7
高濃度嚢胞,7,0
嚢胞様,7,0
圧排性変化,7,7
後瘢痕,7,7
門脈ガス,7,6
Lipiodol,7,7
高吸収像,7,7
motion_artifact,7,7
うっ血域,7,7
Lipiodol残存,7,7
軟部濃度陰影,7,7
表面凹凸不整,7,4
浮腫性肥厚,7,7
増強不良,7,7
動脈性肝実質増強効果,7,7
点状濃染,7,3
脂肪性腫瘤,7,3
脂肪沈着）,7,1
腫瘤内部,7,3
prolonged_enhancement,7,7
肝内濃度は低下,7,1
胆管内気腫,6,6
後期の洗い出し,6,3
多血化,6,7
造影遅延,6,7
肝腫,6,4
肝細胞相低信号部,6,7
早期濃染部位,6,7
濃度は低下,6,7
口径の不整,6,7
焼灼瘢痕,6,7
小早期濃染,6,7
動脈相にて低吸収,6,7
リピオドール沈着域,6,7
小結節状領域,6,3
血栓形成,6,7
液体貯留像減少,6,0
門脈ガス像,6,6
脈管腫瘍栓,6,7
病変部,6,7
嚢胞状の低吸収域,6,0
fill-in_enhancement,6,3
造影効果乏しく,6,7
海綿状血管腫の像,6,3
隔壁構造,6,7
早期濃染まり,6,7
肝細胞相低信号域,6,7
地図状脂肪肝,6,1
早期濃染み,6,7
瘍壊死,6,7
金属,6,7
吸収値の低下,6,1
小早期濃染域,6,7
腫瘍内仮性瘤,6,7
RFA痕,6,7
肝門部胆管肥厚,6,7
Lipidol集積,6,7
ごく淡く低吸収域,6,1
肝門部液貯留,6,7
乏血性脂肪性結節,6,3
濃度も不均一,6,7
ERBD_tube,6,7
線状の低吸収域,6,7
肝低吸収域,6,7
早期濃染ムラ,6,7
結節状陰影,6,3
早期濃染洗い出し,6,3
肝管拡張,6,2
金属濃度,6,7
肝縁の鈍化,6,4
目立つ領域,6,7
肝表面凹凸,6,4
それぞれ胆管tube,6,4
リング状早期造影効果,6,3
早期濃染+洗い出し,6,3
腫大した,6,7
肝嚢胞腎嚢胞,6,0
まだら状脂肪肝,6,1
造影効果は低下,6,7
肝AML,6,3
high-low_patternの結節,6,3
肝内shunt,6,7
vascular_nodules,6,3
高吸収域病変,6,7
造影剤の血管外漏出,6,7
早期相濃染結節,6,7
小さい肝嚢胞,6,0
広がる低濃度域,6,7
Lipiodol貯留病変,6,7
空洞,6,7
ドーム下病変,6,7
右肝内胆管拡張,5,2
focal_fat_spared_area,5,1
微小低吸収結節,5,3
造影効果も低下~遅延,5,7
肝実質濃度低下,5,1
実質低濃度化,5,1
脂肪肝のspared_lesions,5,1
早期増強効果が不均一,5,7
high-iso_lesion,5,7
早期相にて濃染する結節,5,3
鬱血像,5,7
肝縁変形,5,4
肝内小結節状の領域,5,3
viableな成分,5,7
リピオドール貯留,5,7
AP_shuntないし血管腫,5,3
脂肪性の結節,5,3
高吸収な縁取り,5,7
薄い壁肥厚,5,7
異常信号,5,7
肝内血腫,5,7
低濃度な領域,5,7
軟部組織濃度域,5,7
低吸収期,5,1
胆管狭小化,5,7
動脈相において濃染,5,7
_shunt,5,7
リピオドール沈着部,5,7
左肝管狭窄,5,7
結節状早期,5,3
早期膿染結節,5,3
病変内低吸収域,5,7
嚢胞腫瘤,5,0
胆管胆管気腫,5,6
石灰化像,5,5
地図状脂肪肝）,5,1
肝AP_shunt,5,7
eHCC,5,3
まだらな吸収域,5,1
小さな病変,5,7
胆管内ガス,5,6
小結節状,5,3
nodule_in_noduleの構造,5,3
早期へ濃染域,5,7
高集積,5,7
後期washout病変,5,3
充実性病変,5,3
hypovascular_lesion,5,7
実質濃度が低下,5,1
wash_out状,5,3
染まり混み,5,7
HDA,5,7
隔壁様構造,5,7
早期濃染部,5,7
脂肪肝増悪,5,1
瘢痕像,5,7
軟部構造,5,7
被膜陥凹,5,7
高吸収液貯留,5,7
早期濃染ん,5,7
低吸収域腫瘤,5,3
グラフト肝の肝内胆管拡張,5,2
萎縮ぎみ,5,4
viableな腫瘍,5,3
浮腫状変化,5,7
造影前低濃度,5,1
効果不均一,5,7
嚢胞状の液体貯留腔,5,7
血流の違い,5,7
肝内門脈内ガス,5,6
肝鉄沈着,5,7
内部脈管構造の貫通,5,7
表面不整,5,4
金属クリップ,5,7
早期濃染数カ所,5,7
腫瘤状乏血域,5,3
腫瘤状の早期濃染,5,3
造影効果は一部不均一,5,7
低吸収）,5,7
capsule_like_enhancement,5,3
肝実質増強不良,5,7
造影効果がまだら,5,7
periportal_color,5,7
肝嚢胞膵,5,0
肝形態変化,5,4
肝NET,5,3
造影効果も不均一に上昇,5,7
ウォッシュアウト,5,3
小結節様構造,5,3
結節状濃染域,5,3
多結節,5,3
造影異常,5,7
脂肪肝・結腸憩室,5,1
内外瘻チューブ,5,7
線状の高吸収域,5,7
膿瘍不明瞭化,5,7
肝実質低吸収域,5,1
内外瘻化,5,7
軟部組織の増生,5,7
病変肝,5,7
pnuemobilia,5,6
濃染する帯状の領域,5,7
線状石灰化,5,5
HGS_stent,5,7
小結節影,5,3
washout継続,5,3
微小早期濃染域,5,7
リピドールの沈着,5,7
あらたな沈着,5,7
肝内結節,5,3
結節状の集積,5,3
高吸収部分,5,7
造影後早期濃染,5,7
低信号結節,5,3
弱い染まり,5,7
嚢胞性小病変,5,0
mass形成,5,3
濃染部位,5,7
求肝性の側副血行路形成,5,7
cavernous_transformation）,5,7
嚢胞ないし血管腫,5,3
染まる領域,5,7
門脈内gas,5,6
染まり抜けています,5,3
脂肪の吸収値,5,1
極めて凹凸,5,4
lipidol,5,7
点状早期増強効果,5,7
像早期濃染域,5,7
胆汁貯留,4,7
拡張不良,4,7
造影効果亢進,4,7
造影亢進,4,7
早期濃染変化,4,7
脂肪肝のfocal_spared_area,4,1
脂肪肝のarea,4,1
軟部英,4,7
コントラストは低下,4,7
石灰,4,5
肝内periportal_color,4,7
造影効果部分,4,7
むら染まり,4,7
嚢胞様の病変,4,0
軟部腫瘍,4,3
脂肪沈着増強,4,1
ring_enhance,4,3
肝APシャント,4,7
高濃度陰影,4,7
胆管stent_tube,4,7
依然として閉塞,4,7
内部air,4,6
造影効果の乏しい領域,4,7
厚い液体貯留,4,7
肝内血流改変,4,7
嚢胞化,4,0
造影剤のextravasation,4,7
主肝嚢胞,4,0
造影不均一でした,4,7
造影効果強く,4,7
嚢胞状の拡張,4,0
ムラぞまり,4,7
腫瘤様所見,4,3
嚢胞状~,4,0
早期造影不均一,4,7
嚢胞性結節,4,0
壁周囲淡染,4,7
肝部分脂肪肝,4,1
肝内低吸収結節影,4,3
washout）,4,3
低吸収量域,4,7
Lipiodole集積,4,7
pigtail_catheter,4,7
早期濃染-wash_outする結節,4,3
濃染遷延域,4,7
血流改変巣,4,7
shunt様の早期濃染,4,7
楔型の領域,4,7
wash_outする結節性病変,4,3
途絶像,4,7
動脈相にて早期濃染,4,7
移植肝内早期濃染病変,4,7
遠肝性シャント,4,7
periportal_collarの肥厚,4,7
嚢胞状腫瘤,4,3
低吸収の病変,4,7
PTBD_tube,4,7
嚢胞状の低濃度結節,4,0
梢性索状影,4,7
肝内結節影,4,3
小膿疱,4,0
不均一増強効果,4,7
すこし被包化,4,7
腫瘍部,4,3
enhancing_lesion,4,7
早期濃染する帯状の領域,4,7
肝実質早期濃染,4,7
腫瘤上縁,4,3
濃度低下域,4,7
造影剤貯留,4,7
索状の染まり,4,7
lipiodol集積辺縁,4,7
cavenous_transformation,4,7
厚い被膜,4,7
濃度はやや不均一,4,7
後期不明瞭化領域,4,7
lipidol集積,4,7
増強効果の亢進,4,7
引き続き肝嚢胞,4,0
異常拡張,4,7
遠肝性側副路増生,4,7
粗大病変,4,7
早期濃染する病変,4,7
軽度胆管拡張像,4,2
淡く低吸収な領域,4,7
炎症像,4,7
索状低吸収域,4,7
小石灰,4,5
small_cyst,4,0
肝嚢胞脾,4,0
引き続き小さな嚢胞,4,0
高吸収継続,4,7
またがる低吸収結節,4,3
vascular_lesion,4,7
lipiodolの集積,4,7
造影効果が不均質化,4,7
不染領域,4,7
造影低下領域,4,7
濃染部,4,7
拡張性変化,4,7
実質性変化,4,7
来たす腫瘍,4,3
異所性還流域,4,7
金属濃度像,4,7
ERBDチューブ,4,7
washoutする,4,3
肝縁不整,4,4
高吸収な領域,4,7
門脈拡張,4,7
肝濃度不均一,4,7
肝円索描出,4,7
求肝性側副血行路発達,4,7
血流低下域,4,7
早期濃染濃染域,4,7
早期濃染-wash_out,4,3
造影効果まだら,4,7
焼灼域内,4,7
wash_out腫瘤,4,3
嚢胞変性,4,0
濃染するパターン,4,7
造影CT早期相にて濃染,4,7
造影効果明瞭化,4,7
形態変化,4,4
脂肪肝不変,4,1
異常軟部濃度,4,7
早期濃染（疑）,4,7
早期濃染不明瞭,4,7
吸収値高く,4,7
肝実質増強効果不均一,4,7
血管腫不変,4,3
濃染域の広がり,4,7
脂肪非沈着域,4,1
FDG集積,4,7
淡く低吸収,4,7
Lp貯留,4,7
早期相にて濃染,4,7
遅延造影,4,7
動脈支配化,4,7
増強病変,4,7
増強効果不均一,4,7
Cluster_sign,4,7
小結節状の早期濃染域,4,3
くさび状早期濃染,4,7
液体貯留嚢胞,4,0
高吸収の領域,4,7
早期濃染巣,4,7
CT値低下,4,7
低濃度な病変,4,7
puenmobilia,4,6
RFA変化,4,7
