keyword,keyword_en,frequency,category
胆嚢癌原発巣,Primary Site of Gallbladder Cancer,10,1
分節型腺筋腫症,Segmental Type of Adenomyomatosis,10,4
胆腺筋腫症,Adenomyomatosis of the Gallbladder,10,4
小石灰化,Small Calcification,8,3
胆嚢胞,Gallbladder Cyst,7,6
SOL,SOL (Space-occupying Lesion),6,1
胆泥の貯留,Bile Sludge Accumulation,6,6
腫瘤状病変,Tumor-like Lesion,5,1
結石ないし胆泥,Stone or Bile Sludge,4,3
石,Stone,4,3
胆泥~胆石,Bile Sludge ~ Gallstone,4,3
アーチファクト,Artifact,4,6
胆砂胆泥,Gallbladder Sand and Sludge,4,6
変形,Deformation,4,4
胆泥~結石,Bile Sludge ~ Stone,4,3
胆嚢管癌肝浸潤,Liver Infiltration by Gallbladder Duct Cancer,3,1
原発の胆嚢癌,Primary Gallbladder Cancer,3,1
胆内結石,Intragallbladder Stone,3,3
胆砂貯留,Bile Sand Accumulation,3,6
小polyp,Small Polyp,2,5
壁の肥厚,Wall Thickening,2,4
高濃度結節,High-density Nodule,2,1
胆汁貯留,Bile Accumulation,2,6
胆汁ないし胆砂,Bile or Gallbladder Sand,2,6
結石貯留,Stone Accumulation,1,3
気泡,Air Bubble,1,6
胆石~胆泥貯留,Gallstone ~ Bile Sludge Accumulation,1,3
